numero,nome,cor_chaveiro,disponivel
1,SALA DE QUADROS 01,Amarelo,True
2,SALA DE ESGOTO 01,Amarelo,False
3,SALA DE EXAUSTÃO 01,Amarelo,True
4,SALA DE EXAUSTÃO 02,Amarelo,True
5,SALA DE ESGOTO 02,Amarelo,True
6,DEPÓSITO VERZANI,Amarelo,True
7,INDIGO,Amarelo,True
8,VERZANI,Amarelo,True
9,SALA DE ESGOTO 03,Amarelo,True
10,CASA DE MÁQUINAS 01,Amarelo,True
11,SALA DE QUADROS 02,Amarelo,True
12,SALA DE BOMBAS INCÊNDIO,Amarelo,True
13,SALA DE QUADROS 03,Amarelo,True
14,SALA DE GERADOR INCÊNDIO,Amarelo,True
15,DEPÓSITO 01,Amarelo,True
16,SALA DE BOMBAS ÁGUA POTÁVEL,Amarelo,True
17,SALA DE EXAUSTÃO 03,Amarelo,True
18,SALA DE ESGOTO 04,Amarelo,True
19,CASA DE MÁQUINAS 02,Amarelo,True
20,SALA DE BOMBAS ÁGUA DE REÚSO,Amarelo,True
21,SALA DE QUADROS 04 (EXT),Amarelo,True
22,SALA DE QUADROS 04 (INT),Amarelo,True
23,SALA DE ESGOTO 05,Amarelo,True
24,DEPÓSITO 02,Amarelo,True
25,SALA DE VG,Amarelo,True
26,CASA DE MÁQUINAS 03 (EXT),Amarelo,True
27,CASA DE MÁQUINAS 03 (INT),Amarelo,True
28,SALA DE QUADROS 05,Amarelo,True
29,DEPÓSITO 03,Amarelo,True
30,TELECOMUNICAÇÕES,Amarelo,True
31,SALA DE QUADROS 06,Amarelo,True
32,SALA DE EXAUSTÃO 04,Amarelo,True
33,SALA DE EXAUSTÃO 05,Amarelo,True
34,SKID GÁS 01,Amarelo,True
35,CORREDOR TÉCNICO PORTA 1 E 2,Amarelo,True
36,SANITÁRIO MASCULINO 01,Amarelo,True
37,SANITÁRIO FEMININO 01,Amarelo,True
38,RUDDER,Amarelo,True
39,SALA DE TREINAMENTO,Amarelo,True
40,REFEITÓRIO FUNCIONÁRIOS E LOJISTAS,Amarelo,True
41,DG TELEFONIA 01,Amarelo,True
42,DG TELEFONIA 02,Amarelo,True
43,SALA DE QUADROS 07,Amarelo,True
44,SALA DE EXAUSTÃO 06,Amarelo,True
45,RACK CENTRAL,Amarelo,True
46,OTIS,Amarelo,True
47,ACHADOS E PERDIDOS,Amarelo,True
48,SANITÁRIO CENTRAL,Amarelo,True
49,CENTRAL DE OPERAÇÕES,Amarelo,True
50,ADMINISTRAÇÃO,Amarelo,True
51,RACK ADM,Amarelo,True
52,DEPÓSITO LIMPEZA,Amarelo,True
53,SALA DE ATENDIMENTO,Amarelo,True
54,BOMBEIROS,Amarelo,True
55,DEPÓSITO 04,Amarelo,True
56,ADMINISTRAÇÃO INDIGO,Amarelo,True
57,SALA DE GERADOR EMERGÊNCIA,Amarelo,True
58,SKID GÁS 02,Amarelo,True
59,SALA DE QUADROS 08,Amarelo,True
60,SALA DE EXAUSTÃO 07,Amarelo,True
61,SALA DE EXAUSTÃO 08,Amarelo,True
62,DEPÓSITO 05,Amarelo,True
63,DEPÓSITO 06,Amarelo,True
64,DEPÓSITO 07,Amarelo,True
65,SALA DE QUADROS 09,Amarelo,True
66,MATERIAIS ESTACIONAMENTO,Amarelo,True
67,SALA DE QUADROS 10,Amarelo,True
68,SALA DE QUADROS 11,Amarelo,True
69,CENTRAL TÉRMICA,Amarelo,True
70,SUBESTAÇÃO 02,Amarelo,True
71,DEPÓSITO 08,Amarelo,True
72,MANUTENÇÃO,Amarelo,True
73,OFICINA DE MANUTENÇÃO,Amarelo,True
74,MANUTENÇÃO 02,Amarelo,True
75,DEPÓSITO 09,Amarelo,True
76,DEPÓSITO 10,Amarelo,True
77,RESERVATÓRIO ÁGUA DE REÚSO,Amarelo,True
78,DEPÓSITO 11,Amarelo,True
79,SKID GÁS 03,Amarelo,True
80,SALA DE QUADROS 12,Amarelo,True
81,DEPÓSITO 12,Amarelo,True
82,DEPÓSITO 13,Amarelo,True
83,DEPÓSITO 14,Amarelo,True
84,DEPÓSITO 15,Amarelo,True
85,SALA DE EXAUSTÃO 10,Amarelo,True
86,DOCA 01,Azul,True
87,SANITÁRIO DOCA,Azul,True
88,RESÍDUOS TORRE,Azul,True
89,RESÍDUOS HOTEL ,Azul,True
90,REDÍDUOS HUB ,Azul,True
91,SKID GÁS 04,Azul,True
92,SANITÁRIO PCD ,Azul,True
93,SANITÁRIO FEMININO 02,Azul,True
94,SANITÁRIO MASCULINO 02,Azul,True
95,DOCA 02,Azul,True
96,ACESSO DOCA 02,Azul,True
97,CASA DE MÁQUINAS 04 (EXT),Azul,True
98,HALL DOS ELEVADORES 01,Azul,True
99,CASA DE MÁQUINAS 05,Azul,True
100,SALA DE QUADROS 13,Azul,True
101,CASA DE MÁQUINAS 06,Azul,True
102,SALA DE QUADROS 14,Azul,True
103,CASA DE MÁQUINAS 04 (INT),Azul,True
104,SALA DE QUADROS 15,Azul,True
105,SALA DE QUADROS 16,Azul,True
106,CASA DE MÁQUINAS 07,Azul,True
107,FLOREIRA 01,Rosa,True
108,SANITÁRIO MASCULINO 04,Rosa,True
109,SANITÁRIO FEMININO 04,Rosa,True
110,SANITÁRIO FAMÍLIA 01,Rosa,True
111,DEPÓSITO 16,Rosa,True
112,HALL DOS ELEVADORES 02,Rosa,True
113,FLOREIRA 03,Rosa,True
114,DEPÓSITO 17,Rosa,True
115,FLOREIRA 04,Rosa,True
116,CASA DE MÁQUINAS 08,Rosa,True
117,SALA DE QUADROS 18,Rosa,True
118,FLOREIRA 06,Rosa,True
119,CASA DE MÁQUINAS 09,Rosa,True
120,SALA DE QUADROS 19,Rosa,True
121,FLOREIRA 07,Verde,True
122,SANITÁRIO MASCULINO 05,Verde,True
123,SANITÁRIO FEMININO 05,Verde,True
124,SANITÁRIO FAMÍLIA 02,Verde,True
125,DEPÓSITO 18,Verde,True
126,CÂMARA DE LIXO,Verde,True
127,SALA DE LIMPEZA (EXT),Verde,True
128,SALA DE LIMPEZA (INT),Verde,True
129,HALL DOS ELEVADORES 03,Verde,True
130,FLOREIRA 09,Verde,True
131,DEPÓSITO 19,Verde,True
132,SKID GÁS 06,Verde,True
133,SANITÁRIO MASCULINO 06,Verde,True
134,SANITÁRIO FEMININO 06,Verde,True
135,FLOREIRA 10,Verde,True
136,CASA DE MÁQUINAS 10,Verde,True
137,SALA DE QUADROS 20,Verde,True
138,FLOREIRA 12,Verde,True
139,CASA DE MÁQUINAS 11,Verde,True
140,SALA DE QUADROS 22,Verde,True
141,LIVRE,Vermelho,True
142,LIVRE,Vermelho,True
143,LIVRE,Vermelho,True
144,LIVRE,Vermelho,True
145,LIVRE,Vermelho,True
146,LIVRE,Vermelho,True
147,LIVRE,Vermelho,True
148,LIVRE,Vermelho,True
149,LIVRE,Vermelho,True
150,LIVRE,Vermelho,True
151,LIVRE,Vermelho,True
152,LIVRE,Vermelho,True
153,LIVRE,Vermelho,True
154,LIVRE,Vermelho,True
155,LIVRE,Vermelho,True
156,LIVRE,Vermelho,True
157,LIVRE,Vermelho,True
158,LIVRE,Vermelho,True
159,LIVRE,Vermelho,True
160,LIVRE,Vermelho,True
